fips,name,long,lat,tz,area,children
01001,"Autauga, AL",-86.6440822711057,32.53952745184077,4,594.4485563680831,3470735
01003,"Baldwin, AL",-87.72207057610711,30.727749910976122,4,1589.8165057599435,43945893
01005,"Barbour, AL",-85.38712859937323,31.86826300374946,4,885.0019994879436,682903
01007,"Bibb, AL",-87.12511460210395,32.996420635209375,4,622.4606811032812,511505
01009,"Blount, AL",-86.56790593288119,33.9821091791619,4,644.821286457566,3701529
01011,"Bullock, AL",-85.71265534703404,32.10030533308795,4,622.8056267022786,119764
01013,"Butler, AL",-86.68057478045696,31.75300095250735,4,776.8319283905902,443054
01015,"Calhoun, AL",-85.82630386045237,33.774837271682586,4,605.8885258743524,14089557
01017,"Chambers, AL",-85.39072749109417,32.91360079359418,4,596.5313570493572,1155853
01019,"Cherokee, AL",-85.6063896812229,34.17805983099197,4,553.7588174487797,608730
01021,"Chilton, AL",-86.7173255955408,32.850441256211916,4,692.8521787692686,2225513
01023,"Choctaw, AL",-88.26564430464661,32.02227340807625,4,913.467451014669,165219
01025,"Clarke, AL",-87.83548597240181,31.680998591121515,4,1238.4203968411268,611242
01027,"Clay, AL",-85.85836077070711,33.26984192753346,4,603.961657955256,176771
01029,"Cleburne, AL",-85.5200589925389,33.67679204448749,4,560.1044778541474,251558
01031,"Coffee, AL",-85.98901039041714,31.39932825845246,4,678.9861004419823,3038333
01033,"Colbert, AL",-87.8016854358792,34.69847452406013,4,592.6187294350166,3107531
01035,"Conecuh, AL",-86.9932004431422,31.43401703329435,4,850.1771145196493,194440
01037,"Coosa, AL",-86.24847739155922,32.936901457274814,4,650.9106391225865,84890
01039,"Covington, AL",-86.45050893467626,31.24778540150335,4,1030.4569023677873,1500610
01041,"Crenshaw, AL",-86.31593103631918,31.729418034170205,4,608.8648901171982,206784
01043,"Cullman, AL",-86.86888037455118,34.130203028669676,4,734.7797083130239,7012078
01045,"Dale, AL",-85.61095741543808,31.43037123297686,4,561.1265261754426,2792581
01047,"Dallas, AL",-87.10866709887475,32.3268810094954,4,978.7162617514873,1945847
01049,"DeKalb, AL",-85.80782906383567,34.45946862084177,4,777.0987319320164,6042876
01051,"Elmore, AL",-86.14415283623154,32.59785412852879,4,618.4438136281638,7204457
01053,"Escambia, AL",-87.15918693667615,31.12567890312471,4,945.1094754253525,1534485
01055,"Etowah, AL",-86.04051873358634,34.04567266035113,4,535.2854839939787,11086277
01057,"Fayette, AL",-87.73886637571609,33.72076937707766,4,627.6836846173784,274641
01059,"Franklin, AL",-87.84289504525367,34.44235333570692,4,633.9179587971158,1106463
01061,"Geneva, AL",-85.83572839271613,31.093890270614775,4,574.4701530695444,736576
01063,"Greene, AL",-87.95684021836334,32.85504247422891,4,647.0230718549515,73188
01065,"Hale, AL",-87.63284988394928,32.76039257912607,4,643.9825343445302,238870
01067,"Henry, AL",-85.24267943650948,31.511480162768464,4,561.7503066452301,279800
01069,"Houston, AL",-85.2993959862547,31.151979239719086,4,579.8509646440037,12209682
01071,"Jackson, AL",-85.99750489352225,34.78144169401393,4,1077.987221725122,2847267
01073,"Jefferson, AL",-86.89506299558967,33.555547275496,4,1111.1715369998358,509680148
01075,"Lamar, AL",-88.09668032152837,33.779950237180834,4,604.846265491157,203417
01077,"Lauderdale, AL",-87.65624728830966,34.90171875495871,4,668.2435920526292,8666424
01079,"Lawrence, AL",-87.31069453185243,34.5204149826557,4,690.6824012408304,1191477
01081,"Lee, AL",-85.35132245651555,32.60154883136544,4,607.5510906496015,26035347
01083,"Limestone, AL",-86.98310071780814,34.811855863804915,4,559.9555246606905,8990328
01085,"Lowndes, AL",-86.65158371216451,32.15972829634799,4,715.9111552832572,110977
01087,"Macon, AL",-85.69267723912527,32.38759943667667,4,608.8065740193688,336074
01089,"Madison, AL",-86.55069633433114,34.76327132507976,4,801.6041038891101,132484545
01091,"Marengo, AL",-87.78796181950591,32.247676344256455,4,976.8926074336302,408502
01093,"Marion, AL",-87.88704173101156,34.136973634505395,4,742.3420117554131,855391
01095,"Marshall, AL",-86.30486726793775,34.369759637950445,4,565.8438038157634,10840490
01097,"Mobile, AL",-88.20842409317083,30.784723466571364,4,1229.398476273314,201333576
01099,"Monroe, AL",-87.36995001394068,31.56729412318262,4,1025.6871233281454,498265
01101,"Montgomery, AL",-86.20969271795965,32.22068309697393,4,785.2408608161526,63045559
01103,"Morgan, AL",-86.85475946008556,34.455005892170036,4,579.3857756358581,16296388
01105,"Perry, AL",-87.29770589456707,32.64048340804731,4,719.6503017923121,88514
01107,"Pickens, AL",-88.0881810306667,33.28094865678735,4,881.4302467975423,389200
01109,"Pike, AL",-85.94082950018597,31.803963832512807,4,672.0677652068449,1121339
01111,"Randolph, AL",-85.45708830898768,33.295267335307116,4,580.5493578115306,548087
01113,"Russell, AL",-85.1841532396281,32.287252561842585,4,641.1450193877531,4714248
01115,"St. Clair, AL",-86.31029372116646,33.71902175854109,4,631.9079881799148,8040282
01117,"Shelby, AL",-86.66232561459053,33.26879844935065,4,785.3734201119556,50033555
01119,"Sumter, AL",-88.19916204736599,32.59117397506402,4,903.8261241284231,169333
01121,"Talladega, AL",-86.16886177642465,33.37823222984531,4,736.7800703919062,6688063
01123,"Tallapoosa, AL",-85.79833052711183,32.86698258245199,4,716.5172194554978,1770930
01125,"Tuscaloosa, AL",-87.52556818093069,33.287260719895954,4,1320.871620526474,44304609
01127,"Walker, AL",-87.30027177448702,33.802705121507934,4,791.0021166081724,4636177
01129,"Washington, AL",-88.20689944038402,31.40927940376545,4,1080.2058739953056,206478
01131,"Wilcox, AL",-87.30891118115738,31.987732152706435,4,888.4500670545549,109670
01133,"Winston, AL",-87.37325921512074,34.150305324577296,4,612.9792298544568,552438
04001,"Apache, AZ",-109.4892383159404,35.394650059521595,3,11197.464118474274,6901072
04003,"Cochise, AZ",-109.75160884498726,31.879346836526516,10,6164.571200676284,17949584
